filename,r2,strata,cluster_unit,points_per_cluster,sample_size,seed
IDs_state_strata_county_clusters_2_points_per_cluster_700_size_seed_1.pkl,0.5739070114510143,state,county,2,700,1
IDs_state_strata_county_clusters_2_points_per_cluster_700_size_seed_1213.pkl,0.576640520540711,state,county,2,700,1213
IDs_state_strata_county_clusters_2_points_per_cluster_700_size_seed_123.pkl,0.5856198694763912,state,county,2,700,123
IDs_state_strata_county_clusters_2_points_per_cluster_700_size_seed_1234.pkl,0.5745344678304611,state,county,2,700,1234
IDs_state_strata_county_clusters_2_points_per_cluster_700_size_seed_1415.pkl,0.5840012058367341,state,county,2,700,1415
IDs_state_strata_county_clusters_2_points_per_cluster_700_size_seed_42.pkl,0.5719188241028903,state,county,2,700,42
IDs_state_strata_county_clusters_2_points_per_cluster_700_size_seed_456.pkl,0.586833708246297,state,county,2,700,456
IDs_state_strata_county_clusters_2_points_per_cluster_700_size_seed_5678.pkl,0.5949504010287516,state,county,2,700,5678
IDs_state_strata_county_clusters_2_points_per_cluster_700_size_seed_789.pkl,0.5704847617580542,state,county,2,700,789
IDs_state_strata_county_clusters_2_points_per_cluster_700_size_seed_9101.pkl,0.5467315117216405,state,county,2,700,9101
