dataset,initial_set,cost_type,budget,initial_r2_mean,initial_r2_std,diversity_updated_r2_mean,diversity_updated_r2_std,random_updated_r2_mean,random_updated_r2_std,similarity_updated_r2_mean,similarity_updated_r2_std,poprisk_nlcd_0.5_updated_r2_mean,poprisk_nlcd_0.5_updated_r2_std,greedycost_updated_r2_mean,greedycost_updated_r2_std,poprisk_dists_from_urban_tiers_0.5_updated_r2_mean,poprisk_dists_from_urban_tiers_0.5_updated_r2_std,poprisk_nlcd_1.0_updated_r2_mean,poprisk_nlcd_1.0_updated_r2_std
USAVARS_POP,5_fixedstrata_10ppc_300_size,cluster_based_c1_10_c2_20,10,0.37,0.06,,,,,,,,,,,,,,
USAVARS_POP,5_fixedstrata_10ppc_300_size,cluster_based_c1_10_c2_20,20,0.39,0.06,0.41,0.07,,,,,,,,,,,,
USAVARS_POP,5_fixedstrata_10ppc_300_size,cluster_based_c1_10_c2_20,30,0.39,0.06,0.41,0.07,,,,,,,,,,,,
USAVARS_POP,5_fixedstrata_10ppc_300_size,cluster_based_c1_10_c2_20,40,0.39,0.06,0.41,0.06,,,,,,,,,,,,
USAVARS_POP,5_fixedstrata_10ppc_300_size,cluster_based_c1_10_c2_20,50,0.38,0.07,0.41,0.06,0.42,0.05,0.4,0.05,0.41,0.03,0.36,0.11,0.44,0.06,0.42,0.04
USAVARS_POP,5_fixedstrata_10ppc_300_size,cluster_based_c1_10_c2_20,60,0.39,0.06,0.39,0.1,,,,,,,,,,,,
USAVARS_POP,5_fixedstrata_10ppc_300_size,cluster_based_c1_10_c2_20,70,0.39,0.06,0.4,0.11,,,,,,,,,,,,
USAVARS_POP,5_fixedstrata_10ppc_300_size,cluster_based_c1_10_c2_20,80,0.39,0.06,0.38,0.1,,,,,,,,,,,,
USAVARS_POP,5_fixedstrata_10ppc_300_size,cluster_based_c1_10_c2_20,90,0.39,0.06,0.37,0.1,,,,,,,,,,,,
USAVARS_POP,5_fixedstrata_10ppc_300_size,cluster_based_c1_10_c2_20,100,0.38,0.07,0.37,0.1,0.43,0.04,0.43,0.06,0.44,0.06,0.39,0.1,0.49,0.03,0.42,0.06
USAVARS_POP,5_fixedstrata_10ppc_300_size,cluster_based_c1_10_c2_20,200,0.38,0.07,,,0.44,0.06,0.44,0.04,0.45,0.03,0.41,0.09,,,,
USAVARS_POP,5_fixedstrata_10ppc_300_size,cluster_based_c1_10_c2_20,300,0.38,0.07,,,0.46,0.04,0.46,0.04,0.51,0.02,0.45,0.03,,,,
USAVARS_POP,5_fixedstrata_10ppc_300_size,cluster_based_c1_10_c2_20,400,0.38,0.07,,,0.47,0.04,0.47,0.03,0.49,0.02,0.45,0.02,,,,
USAVARS_POP,5_fixedstrata_10ppc_300_size,cluster_based_c1_10_c2_20,500,0.38,0.07,0.49,0.03,0.57,0.02,0.46,0.05,0.52,0.03,0.48,0.03,0.58,0.0,0.51,0.02
USAVARS_POP,5_fixedstrata_10ppc_300_size,cluster_based_c1_10_c2_20,1000,0.38,0.07,0.51,0.02,0.61,0.01,0.48,0.05,0.54,0.02,0.5,0.03,0.61,0.0,0.53,0.02
USAVARS_POP,5_fixedstrata_10ppc_300_size,cluster_based_c1_10_c2_20,5000,0.38,0.07,0.62,0.01,0.68,0.0,0.53,0.01,0.63,0.01,0.61,0.01,0.69,0.0,0.62,0.0
