dataset,initial_set,cost_type,budget,initial_r2_mean,initial_r2_std,random_updated_r2_mean,random_updated_r2_std,random_unit_updated_r2_mean,random_unit_updated_r2_std,similarity_updated_r2_mean,similarity_updated_r2_std,poprisk_dists_from_top20_urban_tiers_0.5_updated_r2_mean,poprisk_dists_from_top20_urban_tiers_0.5_updated_r2_std,poprisk_dists_from_top20_urban_tiers_1.0_updated_r2_mean,poprisk_dists_from_top20_urban_tiers_1.0_updated_r2_std,poprisk_random_subsets_1000_0.5_updated_r2_mean,poprisk_random_subsets_1000_0.5_updated_r2_std,poprisk_random_subsets_100_0.5_updated_r2_mean,poprisk_random_subsets_100_0.5_updated_r2_std,poprisk_nlcd_0.5_updated_r2_mean,poprisk_nlcd_0.5_updated_r2_std,greedycost_updated_r2_mean,greedycost_updated_r2_std
USAVARS_POP,top20_urban_100_points,convenience_based_top20_urban_0.01,100,-0.2,0.21,0.04,0.16,0.04,0.15,-0.31,0.22,-0.02,0.15,0.14,0.0,0.1,0.0,0.15,0.0,-0.32,0.15,-0.29,0.24
USAVARS_POP,top20_urban_100_points,convenience_based_top20_urban_0.01,200,-0.2,0.21,,,,,,,0.08,0.11,0.22,0.0,,,,,-0.34,0.08,,
USAVARS_POP,top20_urban_100_points,convenience_based_top20_urban_0.01,250,-0.21,0.23,0.17,0.09,0.24,0.08,-0.43,0.27,,,,,,,,,-0.43,0.25,-0.47,0.27
USAVARS_POP,top20_urban_100_points,convenience_based_top20_urban_0.01,300,-0.2,0.21,,,,,,,0.17,0.1,0.27,0.0,,,,,-0.39,0.1,,
USAVARS_POP,top20_urban_100_points,convenience_based_top20_urban_0.01,400,-0.2,0.21,,,,,,,0.2,0.07,0.34,0.0,,,,,-0.4,0.08,,
USAVARS_POP,top20_urban_100_points,convenience_based_top20_urban_0.01,500,-0.2,0.21,0.35,0.06,0.34,0.07,-0.43,0.14,0.24,0.05,0.33,0.0,-0.04,0.0,0.42,0.0,-0.34,0.05,-0.44,0.14
USAVARS_POP,top20_urban_100_points,convenience_based_top20_urban_0.01,1000,-0.2,0.21,0.45,0.03,0.44,0.04,-0.63,0.14,0.3,0.04,0.37,0.0,0.11,0.0,0.47,0.0,-0.23,0.04,-0.55,0.1
USAVARS_POP,top20_urban_100_points,convenience_based_top20_urban_0.01,2000,-0.21,0.23,0.52,0.02,0.52,0.02,-0.5,0.06,,,,,,,,,-0.52,0.08,-0.56,0.08
USAVARS_POP,top20_urban_100_points,convenience_based_top20_urban_0.01,3000,-0.21,0.23,0.55,0.01,0.55,0.01,-0.31,0.04,,,,,,,,,-0.28,0.03,-0.34,0.02
USAVARS_POP,top20_urban_100_points,convenience_based_top20_urban_0.01,5000,-0.21,0.23,0.59,0.01,0.59,0.01,-0.03,0.03,,,,,,,,,-0.03,0.02,-0.09,0.01
