dataset,initial_set,cost_type,budget,initial_r2_mean,initial_r2_std,similarity_updated_r2_mean,similarity_updated_r2_std,poprisk_nlcd_1.0_updated_r2_mean,poprisk_nlcd_1.0_updated_r2_std,greedycost_updated_r2_mean,greedycost_updated_r2_std,poprisk_nlcd_0.5_updated_r2_mean,poprisk_nlcd_0.5_updated_r2_std
USAVARS_TC_MULTIPLE,cluster_based_c1_10_c2_20,opt,10,0.63,0.07,0.65,0.15,0.65,0.14,0.67,0.08,,
USAVARS_TC_MULTIPLE,cluster_based_c1_10_c2_20,opt,20,0.63,0.07,0.7,0.08,0.69,0.08,0.65,0.15,,
USAVARS_TC_MULTIPLE,cluster_based_c1_10_c2_20,opt,30,0.63,0.07,0.7,0.07,0.73,0.05,0.69,0.08,,
USAVARS_TC_MULTIPLE,cluster_based_c1_10_c2_20,opt,40,0.63,0.07,0.7,0.08,0.74,0.05,0.7,0.1,,
USAVARS_TC_MULTIPLE,cluster_based_c1_10_c2_20,opt,50,0.63,0.07,0.7,0.06,0.75,0.03,0.73,0.05,,
USAVARS_TC_MULTIPLE,cluster_based_c1_10_c2_20,opt,60,0.63,0.07,0.71,0.06,0.75,0.06,0.74,0.05,,
USAVARS_TC_MULTIPLE,cluster_based_c1_10_c2_20,opt,70,0.63,0.07,0.72,0.05,0.77,0.03,0.73,0.07,,
USAVARS_TC_MULTIPLE,cluster_based_c1_10_c2_20,opt,80,0.63,0.07,0.72,0.06,0.77,0.02,0.74,0.05,,
USAVARS_TC_MULTIPLE,cluster_based_c1_10_c2_20,opt,90,0.63,0.07,0.74,0.05,0.78,0.03,0.75,0.06,,
USAVARS_TC_MULTIPLE,cluster_based_c1_10_c2_20,opt,100,0.63,0.07,0.74,0.06,0.78,0.05,0.76,0.05,0.77,0.05
USAVARS_TC_MULTIPLE,cluster_based_c1_10_c2_20,opt,200,0.63,0.07,0.72,0.06,,,0.78,0.03,0.8,0.02
USAVARS_TC_MULTIPLE,cluster_based_c1_10_c2_20,opt,300,0.63,0.07,0.73,0.08,,,0.8,0.03,0.82,0.02
USAVARS_TC_MULTIPLE,cluster_based_c1_10_c2_20,opt,400,0.63,0.07,0.76,0.06,,,0.81,0.02,0.83,0.02
USAVARS_TC_MULTIPLE,cluster_based_c1_10_c2_20,opt,500,0.63,0.07,0.84,0.03,0.85,0.01,0.82,0.02,0.84,0.02
USAVARS_TC_MULTIPLE,cluster_based_c1_10_c2_20,opt,1000,0.63,0.07,0.86,0.02,0.87,0.01,0.86,0.02,0.86,0.02
USAVARS_TC_MULTIPLE,cluster_based_c1_10_c2_20,opt,5000,0.63,0.07,0.9,0.01,0.9,0.0,0.9,0.01,,
